Customer_ID,Age,Gender,City,Occupation,Education,Membership_Status,Monthly_Income,Spending_Score,Online_Purchases,Customer_Satisfaction,Purchase_Amount,Income_Group
C001,56.0,Female,Hyderabad,Teacher,Master,Silver,72886.0,94.0,10.0,5.0,13363.0,High
C002,57.0,Female,Mumbai,Doctor,High School,Gold,77735.0,49.0,5.0,2.0,7311.0,High
C003,38.0,Male,Delhi,Engineer,Diploma,Silver,43658.0,61.0,27.0,4.0,11167.0,Medium
C004,32.0,Female,Pune,Doctor,Bachelor,Platinum,84803.0,83.0,24.0,3.0,5556.0,High
C005,24.0,Male,Chennai,Engineer,Master,Silver,61001.0,28.0,25.0,5.0,9041.0,High
C006,37.0,Female,Delhi,Manager,High School,Platinum,119769.125,55.0,17.0,4.0,21923.375,High
C007,23.0,Female,Bangalore,Manager,Diploma,Silver,63758.0,37.0,25.0,4.0,2161.0,High
C008,27.0,Female,Delhi,Doctor,Bachelor,Platinum,58397.0,81.0,7.0,5.0,8040.0,Medium
C009,35.0,Male,Hyderabad,Engineer,High School,Silver,56044.0,34.0,12.0,1.0,10006.0,Medium
C010,26.0,Female,Chennai,Manager,Master,Platinum,23258.0,27.0,2.0,3.0,14666.0,Low
C011,22.0,Female,Bangalore,Student,Master,Platinum,26392.0,91.0,11.0,2.0,5104.0,Low
C012,40.0,Female,Hyderabad,Teacher,Master,Gold,42538.0,54.0,0.0,3.0,10110.0,Medium
C013,31.0,Male,Chennai,Analyst,Diploma,Platinum,24910.0,33.0,6.0,3.0,6488.0,Low
C014,32.0,Male,Bangalore,Engineer,Master,Silver,68015.0,71.0,28.0,4.0,3757.0,High
C015,54.0,Male,Hyderabad,Teacher,High School,Silver,80623.0,90.0,26.0,3.0,5157.0,High
C016,45.0,Female,Bangalore,Analyst,Diploma,Silver,20693.0,47.0,27.0,4.0,5627.0,Low
C017,37.0,Female,Pune,Teacher,Master,Gold,33707.0,81.0,0.0,1.0,3306.0,Medium
C018,30.0,Male,Mumbai,Doctor,Master,Platinum,21748.0,70.0,9.0,4.0,2663.0,Low
C019,32.0,Male,Pune,Student,Master,Silver,52647.0,77.0,19.0,4.0,5581.0,Medium
C020,56.0,Female,Mumbai,Student,High School,Silver,44736.0,21.0,1.0,4.0,2854.0,Medium
C021,54.0,Female,Chennai,Student,Bachelor,Gold,68859.0,51.0,5.0,4.0,5510.0,High
C022,28.0,Female,Mumbai,Student,Bachelor,Gold,85863.0,88.0,19.0,2.0,2197.0,High
C023,39.0,Male,Chennai,Student,Master,Platinum,69663.0,22.0,19.0,4.0,9098.0,High
C024,53.0,Male,Bangalore,Teacher,Bachelor,Platinum,29411.0,90.0,19.0,1.0,4976.0,Low
C025,57.0,Female,Bangalore,Student,Bachelor,Silver,57384.0,69.0,22.0,2.0,2262.0,Medium
C026,33.0,Female,Chennai,Manager,Master,Silver,20049.0,20.0,15.0,4.0,6548.0,Low
C027,54.0,Female,Mumbai,Student,High School,Platinum,60642.0,67.0,15.0,3.0,6499.0,High
C028,41.0,Female,Chennai,Manager,Bachelor,Silver,50711.0,55.0,5.0,4.0,10445.0,Medium
C029,40.0,Female,Pune,Student,Bachelor,Silver,86497.0,85.0,21.0,3.0,13983.0,High
C030,58.0,Female,Chennai,Manager,High School,Gold,21987.0,27.0,6.0,3.0,6496.0,Low
C031,50.0,Female,Delhi,Teacher,Bachelor,Gold,37830.0,41.0,13.0,5.0,10754.0,Medium
C032,25.0,Male,Mumbai,Engineer,High School,Gold,57790.0,83.0,0.0,5.0,13259.0,Medium
