Customer_ID,Age,Gender,City,Occupation,Education,Membership_Status,Monthly_Income,Spending_Score,Online_Purchases,Customer_Satisfaction,Purchase_Amount
C001,56.0,Female,Hyderabad,Teacher,Master,Silver,72886.0,94.0,10,5,13363.0
C002,57.0,Female,Mumbai,Doctor,High School,Gold,77735.0,49.0,5,2,7311.0
C003,38.0,Male,Delhi,Engineer,Diploma,Silver,43658.0,61.0,27,4,11167.0
C004,32.0,Female,Pune,Doctor,Bachelor,Platinum,84803.0,83.0,24,3,5556.0
C005,24.0,Male,Chennai,Engineer,Master,Silver,61001.0,28.0,25,5,9041.0
C006,37.0,Female,Delhi,Manager,High School,Platinum,500000.0,55.0,17,4,150000.0
C007,23.0,Female,Bangalore,Manager,Diploma,Silver,63758.0,37.0,25,4,2161.0
C008,27.0,Female,Delhi,Doctor,Bachelor,Platinum,58397.0,81.0,7,5,
C009,35.0,Male,Hyderabad,Engineer,High School,Silver,56044.0,34.0,12,1,10006.0
C010,26.0,Female,Chennai,Manager,Master,Platinum,23258.0,27.0,2,3,14666.0
C011,22.0,Female,Bangalore,Student,Master,Platinum,26392.0,91.0,11,2,5104.0
C012,40.0,Female,Hyderabad,Teacher,Master,Gold,42538.0,54.0,0,3,10110.0
C013,31.0,Male,Chennai,Analyst,Diploma,Platinum,24910.0,33.0,6,3,6488.0
C014,32.0,Male,Bangalore,Engineer,Master,Silver,68015.0,71.0,28,4,3757.0
C015,54.0,Male,Hyderabad,Teacher,High School,Silver,80623.0,90.0,26,3,5157.0
C016,45.0,Female,Bangalore,Analyst,Diploma,Silver,20693.0,47.0,27,4,5627.0
C017,37.0,Female,Pune,Teacher,Master,Gold,33707.0,81.0,0,1,3306.0
C018,30.0,Male,Mumbai,Doctor,Master,Platinum,21748.0,70.0,9,4,2663.0
C019,32.0,Male,Pune,Student,Master,Silver,,77.0,19,4,5581.0
C020,56.0,Female,Mumbai,Student,High School,Silver,44736.0,21.0,1,4,2854.0
C021,54.0,Female,Chennai,Student,Bachelor,Gold,68859.0,51.0,5,4,5510.0
C022,28.0,Female,Mumbai,Student,Bachelor,Gold,85863.0,88.0,19,2,2197.0
C023,39.0,Male,Chennai,Student,Master,Platinum,69663.0,22.0,19,4,9098.0
C024,53.0,Male,Bangalore,Teacher,Bachelor,Platinum,29411.0,90.0,19,1,4976.0
C025,57.0,Female,Bangalore,Student,Bachelor,Silver,57384.0,69.0,22,2,2262.0
C026,33.0,Female,Chennai,Manager,Master,Silver,20049.0,20.0,15,4,6548.0
C027,54.0,Female,Mumbai,Student,High School,Platinum,60642.0,67.0,15,3,6499.0
C028,41.0,Female,Chennai,Manager,Bachelor,Silver,50711.0,55.0,5,4,10445.0
C029,,Female,Pune,Student,Bachelor,Silver,86497.0,85.0,21,3,13983.0
C030,58.0,Female,Chennai,Manager,High School,Gold,21987.0,27.0,6,3,6496.0
C031,50.0,Female,Delhi,Teacher,Bachelor,Gold,37830.0,41.0,13,5,10754.0
C032,25.0,Male,Mumbai,Engineer,High School,Gold,57790.0,83.0,0,5,13259.0
C033,36.0,Female,Mumbai,Student,Master,Silver,74491.0,49.0,28,5,12757.0
C034,52.0,Female,Chennai,Analyst,Master,Silver,18301.0,72.0,2,4,
C035,38.0,Female,Chennai,Teacher,Master,Gold,52584.0,73.0,25,3,3895.0
C036,41.0,Female,Pune,Engineer,Bachelor,Platinum,28729.0,21.0,25,1,13367.0
C037,50.0,Male,Mumbai,Doctor,Master,Platinum,72748.0,61.0,22,2,7986.0
C038,42.0,Female,Hyderabad,Manager,Diploma,Platinum,88316.0,39.0,0,4,8002.0
C039,40.0,Male,Delhi,Engineer,Diploma,Platinum,70921.0,82.0,29,5,8293.0
C040,39.0,Male,Delhi,Engineer,Diploma,Platinum,33338.0,79.0,4,1,5124.0
C041,22.0,Male,Delhi,Doctor,High School,Gold,87678.0,74.0,7,4,8799.0
C042,30.0,Female,Delhi,Engineer,Diploma,Platinum,46251.0,77.0,22,2,10932.0
C043,43.0,Male,Pune,Student,Master,Silver,84617.0,20.0,14,2,
C044,42.0,Female,Hyderabad,Analyst,High School,Silver,71222.0,83.0,4,5,12486.0
C045,20.0,Female,Bangalore,Teacher,High School,Gold,79389.0,88.0,14,1,4141.0
C046,22.0,Female,Bangalore,Engineer,Master,Silver,80752.0,42.0,25,2,4849.0
C047,48.0,Female,Bangalore,Teacher,Diploma,Silver,59975.0,88.0,12,4,13279.0
C048,41.0,Female,Bangalore,Student,Master,Platinum,84387.0,43.0,11,2,13938.0
C049,50.0,Male,Hyderabad,Teacher,Bachelor,Silver,56304.0,59.0,9,3,9723.0
C050,46.0,Male,Delhi,Doctor,Diploma,Silver,45350.0,27.0,28,2,11817.0
C051,51.0,Male,Chennai,Manager,Diploma,Silver,56513.0,94.0,28,4,2728.0
C052,38.0,Male,Chennai,Manager,Diploma,Silver,36888.0,43.0,2,1,3122.0
C053,53.0,Female,Chennai,Doctor,Master,Silver,62811.0,74.0,12,1,4914.0
C054,58.0,Female,Chennai,Student,Diploma,Silver,68517.0,32.0,26,3,2395.0
C055,58.0,Male,Delhi,Student,Bachelor,Gold,69934.0,71.0,18,2,7486.0
C056,33.0,Male,Hyderabad,Teacher,Master,Silver,29130.0,72.0,22,1,3062.0
C057,59.0,Female,Pune,Engineer,High School,Platinum,56102.0,94.0,17,4,9241.0
C058,34.0,Male,Pune,Doctor,High School,Gold,80856.0,69.0,26,2,11409.0
C059,22.0,Male,Hyderabad,Doctor,Bachelor,Silver,44432.0,36.0,6,1,3324.0
C060,21.0,Female,Pune,Manager,Bachelor,Platinum,44790.0,93.0,25,3,14326.0
C061,20.0,Male,Hyderabad,Engineer,Master,Gold,48355.0,91.0,28,1,12150.0
C062,18.0,Male,Hyderabad,Manager,Diploma,Silver,46016.0,44.0,23,1,7029.0
