Customer_ID,Age,Gender,City,Occupation,Education,Membership_Status,Monthly_Income,Spending_Score,Online_Purchases,Customer_Satisfaction,Purchase_Amount,High_Value_Customer
C001,56.0,0,3,5,3,2,72886.0,94.0,10,5,13363.0,1
C002,57.0,0,4,1,2,0,77735.0,49.0,5,2,7311.0,0
C003,38.0,1,2,2,1,2,43658.0,61.0,27,4,11167.0,1
C004,32.0,0,5,1,0,1,84803.0,83.0,24,3,5556.0,0
C005,24.0,1,1,2,3,2,61001.0,28.0,25,5,9041.0,1
C006,37.0,0,2,3,2,1,500000.0,55.0,17,4,150000.0,1
C007,23.0,0,0,3,1,2,63758.0,37.0,25,4,2161.0,0
C008,27.0,0,2,1,0,1,58397.0,81.0,7,5,8040.0,0
C009,35.0,1,3,2,2,2,56044.0,34.0,12,1,10006.0,1
C010,26.0,0,1,3,3,1,23258.0,27.0,2,3,14666.0,1
C011,22.0,0,0,4,3,1,26392.0,91.0,11,2,5104.0,0
C012,40.0,0,3,5,3,0,42538.0,54.0,0,3,10110.0,1
C013,31.0,1,1,0,1,1,24910.0,33.0,6,3,6488.0,0
C014,32.0,1,0,2,3,2,68015.0,71.0,28,4,3757.0,0
C015,54.0,1,3,5,2,2,80623.0,90.0,26,3,5157.0,0
C016,45.0,0,0,0,1,2,20693.0,47.0,27,4,5627.0,0
C017,37.0,0,5,5,3,0,33707.0,81.0,0,1,3306.0,0
C018,30.0,1,4,1,3,1,21748.0,70.0,9,4,2663.0,0
C019,32.0,1,5,4,3,2,52647.0,77.0,19,4,5581.0,0
C020,56.0,0,4,4,2,2,44736.0,21.0,1,4,2854.0,0
C021,54.0,0,1,4,0,0,68859.0,51.0,5,4,5510.0,0
C022,28.0,0,4,4,0,0,85863.0,88.0,19,2,2197.0,0
C023,39.0,1,1,4,3,1,69663.0,22.0,19,4,9098.0,1
C024,53.0,1,0,5,0,1,29411.0,90.0,19,1,4976.0,0
C025,57.0,0,0,4,0,2,57384.0,69.0,22,2,2262.0,0
C026,33.0,0,1,3,3,2,20049.0,20.0,15,4,6548.0,0
C027,54.0,0,4,4,2,1,60642.0,67.0,15,3,6499.0,0
C028,41.0,0,1,3,0,2,50711.0,55.0,5,4,10445.0,1
C029,40.0,0,5,4,0,2,86497.0,85.0,21,3,13983.0,1
C030,58.0,0,1,3,2,0,21987.0,27.0,6,3,6496.0,0
C031,50.0,0,2,5,0,0,37830.0,41.0,13,5,10754.0,1
C032,25.0,1,4,2,2,0,57790.0,83.0,0,5,13259.0,1
C033,36.0,0,4,4,3,2,74491.0,49.0,28,5,12757.0,1
C034,52.0,0,1,0,3,2,18301.0,72.0,2,4,8040.0,0
C035,38.0,0,1,5,3,0,52584.0,73.0,25,3,3895.0,0
C036,41.0,0,5,2,0,1,28729.0,21.0,25,1,13367.0,1
C037,50.0,1,4,1,3,1,72748.0,61.0,22,2,7986.0,0
C038,42.0,0,3,3,1,1,88316.0,39.0,0,4,8002.0,0
C039,40.0,1,2,2,1,1,70921.0,82.0,29,5,8293.0,1
C040,39.0,1,2,2,1,1,33338.0,79.0,4,1,5124.0,0
C041,22.0,1,2,1,2,0,87678.0,74.0,7,4,8799.0,1
C042,30.0,0,2,2,1,1,46251.0,77.0,22,2,10932.0,1
C043,43.0,1,5,4,3,2,84617.0,20.0,14,2,8040.0,0
C044,42.0,0,3,0,2,2,71222.0,83.0,4,5,12486.0,1
C045,20.0,0,0,5,2,0,79389.0,88.0,14,1,4141.0,0
C046,22.0,0,0,2,3,2,80752.0,42.0,25,2,4849.0,0
C047,48.0,0,0,5,1,2,59975.0,88.0,12,4,13279.0,1
C048,41.0,0,0,4,3,1,84387.0,43.0,11,2,13938.0,1
C049,50.0,1,3,5,0,2,56304.0,59.0,9,3,9723.0,1
C050,46.0,1,2,1,1,2,45350.0,27.0,28,2,11817.0,1
C051,51.0,1,1,3,1,2,56513.0,94.0,28,4,2728.0,0
C052,38.0,1,1,3,1,2,36888.0,43.0,2,1,3122.0,0
C053,53.0,0,1,1,3,2,62811.0,74.0,12,1,4914.0,0
C054,58.0,0,1,4,1,2,68517.0,32.0,26,3,2395.0,0
C055,58.0,1,2,4,0,0,69934.0,71.0,18,2,7486.0,0
